,행정구역,2011년 65세이상 인구 비율,2012년 65세이상 인구 비율,2013년 65세이상 인구 비율,2014년 65세이상 인구 비율,2015년 65세이상 인구 비율,2016년 65세이상 인구 비율,2017년 65세이상 인구 비율,2018년 65세이상 인구 비율,2019년 65세이상 인구 비율,2020년 65세이상 인구 비율
218,광주광역시 동구,15.85708,16.81947,17.76132,18.77146,19.57807,20.266,21.00306,21.52633,21.4414,21.67477
219,광주광역시 서구,8.70647,9.25461,9.7689,10.4042,11.00063,11.3748,12.05087,12.64679,13.37187,14.09556
220,광주광역시 남구,11.43895,12.16281,12.84601,13.46177,13.9713,14.64713,15.43895,16.02679,16.58351,17.3641
221,광주광역시 북구,9.28877,9.93899,10.47388,10.98585,11.54317,12.17369,12.88391,13.36894,14.17332,14.83336
222,광주광역시 광산구,6.79078,7.01868,7.21298,7.51206,7.74891,7.9561,8.30548,8.62965,9.00213,9.35874
223,경기도 광주시,9.09653,9.51004,9.8361,10.18577,10.49847,10.74169,11.33208,11.77711,12.4362,13.16544
224,전라북도 전주시,9.99375,10.54676,11.03492,11.52223,12.10335,12.51335,13.12199,13.60225,14.23622,14.82104
225,전라북도 전주시 완산구,9.91242,10.46744,10.96389,11.45689,12.02309,12.52581,13.20847,14.08662,15.0269,15.66056
226,전라북도 전주시 덕진구,10.09786,10.6481,11.12512,11.60501,12.20572,12.4978,13.01491,13.05608,13.38721,13.91986
227,전라북도 군산시,12.66819,13.2079,13.67963,14.2234,14.84098,15.42419,16.21109,16.83985,17.791,18.70087
228,전라북도 익산시,13.07924,13.78084,14.26605,14.87947,15.56838,16.15121,16.77521,17.52726,18.59986,19.63054
229,전라북도 정읍시,21.12463,21.8951,22.55172,23.31994,24.09443,24.50922,25.12569,25.67911,26.67788,27.62406
230,전라북도 남원시,21.09771,21.97816,22.68217,23.35626,24.12086,24.60089,25.41636,25.97572,27.07481,27.9031
231,전라북도 김제시,24.27962,25.23371,25.86441,26.6791,27.64171,28.30876,28.93841,29.59886,30.57393,31.62795
232,전라북도 완주군,18.56249,18.91045,19.30143,19.28588,19.2292,19.7036,20.18963,20.94363,22.16222,23.10524
233,전라북도 진안군,26.84297,28.69117,29.47983,30.20322,30.95065,31.19797,31.62803,32.48854,33.51753,34.70366
234,전라북도 무주군,26.88397,27.83855,28.25813,28.53486,29.50436,30.16955,31.04115,31.37582,32.46924,33.38049
235,전라북도 장수군,27.39608,27.99793,28.57204,28.71223,29.35086,29.51583,30.91336,30.9978,32.54757,33.87963
236,전라북도 임실군,29.03959,30.39124,30.9997,31.21204,31.47897,31.63228,32.05689,32.48869,34.01149,36.06254
237,전라북도 순창군,29.12161,29.38613,29.80973,30.16333,30.36234,30.69552,31.2681,31.76761,32.80953,33.83804
238,전라북도 고창군,27.0507,27.56287,27.98817,28.92495,29.40412,29.46846,30.00893,31.68949,33.09671,34.19753
239,전라북도 부안군,25.3436,26.21244,26.49415,27.73838,28.53047,28.89045,29.73826,30.55601,31.86603,33.04939
240,전라남도 목포시,10.7281,11.32438,11.99821,12.62144,13.0895,13.64732,14.43559,14.98793,15.69949,16.59887
241,전라남도 여수시,12.92229,13.57587,14.19829,14.85906,15.50722,16.13631,16.95952,17.51112,18.3867,19.25074
242,전라남도 순천시,11.69246,12.08957,12.42146,12.8411,13.19929,13.62817,14.14021,14.51095,15.11921,15.56697
243,전라남도 나주시,24.12429,24.45297,24.83306,24.65562,23.38209,22.50422,21.95804,21.66042,22.02697,22.5651
244,전라남도 광양시,9.29773,9.64551,9.94189,10.29409,10.6578,10.94357,11.36426,11.70065,12.3126,13.15496
245,전라남도 담양군,25.20337,26.04806,26.74971,27.44134,28.09675,28.22207,28.8104,29.44775,29.99893,31.1485
246,전라남도 곡성군,29.90872,30.96703,31.0684,31.83001,32.1531,32.60526,33.30457,33.85093,34.90844,36.09484
247,전라남도 구례군,27.75509,28.74765,29.20524,29.4332,29.73121,30.09631,30.68847,31.38253,32.66197,34.41715
248,전라남도 고흥군,32.64561,33.79402,34.62361,35.68013,36.5913,37.48965,38.20427,38.87073,39.75475,40.90193
249,전라남도 보성군,30.14783,31.19022,31.94567,32.87564,33.47814,34.33628,35.28968,35.92272,37.25012,38.4035
250,전라남도 화순군,20.79148,21.44257,22.04072,22.74456,23.40086,23.76001,24.47124,25.01994,25.95916,26.6539
251,전라남도 장흥군,28.17259,28.61595,28.69966,28.95578,29.05109,31.00642,31.59757,32.07926,32.98499,34.02838
252,전라남도 강진군,26.88045,28.16779,28.64842,29.01081,30.07379,30.87172,31.93284,32.72466,33.67625,34.60819
253,전라남도 해남군,25.81115,26.35061,26.90258,27.486,28.03633,28.68572,29.70219,30.33477,31.20931,32.1302
254,전라남도 영암군,21.16098,21.65775,22.15845,22.62455,23.15049,23.79525,24.77165,25.27818,25.77986,26.53246
255,전라남도 무안군,19.12623,19.59177,19.22965,19.08539,19.3042,19.69942,19.8704,20.2449,20.7854,20.56305
256,전라남도 함평군,30.10461,30.95864,31.21314,32.01197,32.29441,32.85752,33.34596,34.17415,35.19065,36.35009
257,전라남도 영광군,23.81689,24.4041,24.6403,25.50103,26.14321,26.56154,27.38891,27.79574,28.21437,28.9919
258,전라남도 장성군,24.80917,25.4877,26.02177,26.50142,26.84426,27.21239,27.76995,28.24763,28.56862,29.77907
259,전라남도 완도군,26.75944,27.38208,27.93413,28.67755,28.99046,29.66317,30.2443,30.56511,31.40918,32.29002
260,전라남도 진도군,28.85798,29.49892,29.96545,30.39455,31.14916,31.50134,32.08248,32.38733,32.83412,33.80198
261,전라남도 신안군,29.26164,30.27017,30.42888,31.14956,31.73188,32.38066,33.33492,33.82692,34.94066,36.35252
262,제주특별자치도 제주시,11.29189,11.66026,11.95189,12.15015,12.37594,12.56924,12.87926,13.13171,13.62675,14.20766
263,제주특별자치도 서귀포시,16.1959,16.76393,17.30649,17.58668,17.61438,17.56839,17.63845,17.87304,18.56276,19.31053
