행정구역,2011년_계_총인구수,2011년_계_연령구간인구수,2012년_계_총인구수,2012년_계_연령구간인구수,2013년_계_총인구수,2013년_계_연령구간인구수,2014년_계_총인구수,2014년_계_연령구간인구수,2015년_계_총인구수,2015년_계_연령구간인구수,2016년_계_총인구수,2016년_계_연령구간인구수,2017년_계_총인구수,2017년_계_연령구간인구수,2018년_계_총인구수,2018년_계_연령구간인구수,2019년_계_총인구수,2019년_계_연령구간인구수,2020년_계_총인구수,2020년_계_연령구간인구수
전라남도 영암군,60139,12726,59997,12994,59061,13087,58852,13315,58137,13459,57045,13574,55616,13777,54731,13835,54593,14074,53998,14327
전라남도 무안군,75718,14482,75741,14839,79367,15262,81696,15592,82236,15875,82109,16175,82872,16467,81991,16599,81105,16858,84433,17362
전라남도 함평군,36134,10878,35780,11077,35610,11115,35090,11233,34876,11263,34397,11302,34328,11447,33420,11421,32861,11564,32209,11708
전라남도 영광군,56863,13543,57224,13965,57617,14197,56833,14493,56267,14710,55618,14773,54774,15002,54127,15045,53852,15194,53308,15455
전라남도 장성군,46245,11473,46289,11798,46292,12046,46273,12263,46360,12445,46104,12546,46111,12805,45795,12936,45739,13067,44810,13344
전라남도 완도군,54037,14460,53871,14751,53619,14978,53174,15249,53014,15369,52668,15623,52109,15760,51477,15734,50689,15921,50065,16166
전라남도 진도군,33502,9668,33208,9796,32998,9888,32746,9953,32476,10116,32078,10105,31765,10191,31219,10111,30715,10085,30300,10242
전라남도 신안군,44355,12979,43898,13288,44162,13438,43747,13627,43294,13738,42652,13811,42070,14024,41263,13958,40274,14072,39271,14276
경상북도,2699195,424386,2698353,437519,2699440,452417,2700794,467352,2702826,479634,2700398,492417,2691706,512681,2676831,529349,2665836,549415,2640003,568377
경상북도 포항시,517088,52642,518913,55602,519467,58746,519368,62118,519584,65214,516775,68296,513832,72952,510013,77024,507025,82001,503731,86697
경상북도 포항시 남구,252556,24279,251434,25751,249709,27212,247649,28781,246445,30086,244748,31515,242469,33852,239400,35780,235633,37998,230967,40045
경상북도 포항시 북구,264532,28363,267479,29851,269758,31534,271719,33337,273139,35128,272027,36781,271363,39100,270613,41244,271392,44003,272764,46652
경상북도 경주시,265488,41669,264091,42997,263283,44500,261535,46118,259773,47334,259452,48789,257903,50780,256864,52504,255402,54639,253396,56647
