행정구역,2011년_계_총인구수,2011년_계_연령구간인구수,2012년_계_총인구수,2012년_계_연령구간인구수,2013년_계_총인구수,2013년_계_연령구간인구수,2014년_계_총인구수,2014년_계_연령구간인구수,2015년_계_총인구수,2015년_계_연령구간인구수,2016년_계_총인구수,2016년_계_연령구간인구수,2017년_계_총인구수,2017년_계_연령구간인구수,2018년_계_총인구수,2018년_계_연령구간인구수,2019년_계_총인구수,2019년_계_연령구간인구수,2020년_계_총인구수,2020년_계_연령구간인구수
대전광역시 서구,499124,38222,496513,40172,498917,42495,496132,44745,490859,46988,491011,49080,487448,51821,484663,54225,481222,57201,480780,60342
대전광역시 유성구,294353,18694,306312,19901,313968,21120,327461,22618,335312,24154,343222,25474,348428,27420,349790,29219,349373,31182,352604,33154
대전광역시 대덕구,205339,18182,205688,19206,204360,20205,201558,21089,196839,21899,192688,22783,186902,23832,181991,24797,177031,26039,174922,27389
울산광역시,1135494,80465,1147256,85736,1156480,91521,1166377,97250,1173534,103205,1172304,108768,1165132,116633,1155623,123919,1148019,132565,1139368,140963
울산광역시 중구,232634,18844,233013,20138,234607,21530,238825,23136,244481,24621,242536,26082,238652,27853,231973,29405,223581,31023,218862,32724
울산광역시 남구,343504,21289,346836,22962,349064,24848,347759,26415,343598,27956,340714,29400,335439,31629,330732,33804,323819,36318,321494,38596
울산광역시 동구,172172,9922,175479,10786,178468,11719,176668,12496,174963,13382,174514,14370,169605,15672,164642,16783,159656,18189,157396,19545
울산광역시 북구,182504,9801,184088,10318,185695,10879,188733,11517,191063,12218,195285,12985,200718,14053,206434,14984,217796,16449,218903,17645
울산광역시 울주군,204680,20609,207840,21532,208646,22545,214392,23686,219429,25028,219255,25931,220718,27426,221842,28943,223167,30586,222713,32453
세종특별자치시,,,113117,17214,122153,17958,156125,19777,210884,22399,243048,24197,280100,26851,314126,29178,340575,31949,348014,33955
세종특별자치시,,,113117,17214,122153,17958,156125,19777,210884,22399,243048,24197,280100,26851,314126,29178,340575,31949,348014,33955
경기도,11937415,1072462,12093299,1135242,12234630,1195523,12357830,1254445,12522606,1318882,12716780,1374475,12873895,1467835,13077153,1551801,13239666,1651341,13388485,1748200
경기도 수원시,1088489,78587,1120258,84211,1148157,89227,1174228,94472,1184624,99750,1194041,103992,1202628,111667,1201166,117256,1194465,123647,1188926,130230
경기도 수원시 장안구,290999,23992,291757,25262,300908,26769,301196,27827,299016,29116,296479,30116,293828,32021,286433,33177,278377,34579,274911,36191
경기도 수원시 권선구,321176,22654,332633,24469,331773,25684,339835,27192,351053,29296,358393,30924,365653,33705,377647,36570,371754,38769,369755,40832
경기도 수원시 팔달구,209772,19514,206794,20557,204805,21426,203479,22519,199180,23215,198515,23810,193311,24920,180974,24591,175866,25354,174879,26572
경기도 수원시 영통구,266542,12427,289074,13923,310671,15348,329718,16934,335375,18123,340654,19142,349836,21021,356112,22918,368468,24945,369381,26635
경기도 성남시,979323,87528,978615,92664,979534,97608,974608,101943,971424,106386,974580,109744,967510,115526,954347,120100,942724,125807,941783,131768
경기도 성남시 수정구,236123,23148,233997,24668,228167,25991,223539,27062,219531,28154,232841,30078,236932,32125,234133,33491,234678,35669,241803,38047
경기도 성남시 중원구,254872,23233,253883,24689,256349,26249,251982,27512,250004,28797,237909,28803,230366,29970,224885,31039,220041,32521,216379,33910
경기도 성남시 분당구,488328,41147,490735,43307,495018,45368,499087,47369,501889,49435,503830,50863,500212,53431,495329,55570,488005,57617,483601,59811
경기도 의정부시,430400,43889,429147,46222,430976,48701,431112,50891,433937,53282,438457,55396,441584,58509,447026,61413,451868,65272,458273,69088
경기도 안양시,615642,50490,611412,52773,607877,55180,600809,57295,597789,59809,597414,61675,587764,64655,576831,67680,567044,71643,553286,74722
경기도 안양시 만안구,263077,24845,253492,25452,250246,26564,247315,27645,247270,28913,252353,30304,254977,32509,251512,34215,244235,36017,240604,37755
경기도 안양시 동안구,352565,25645,357920,27321,357631,28616,353494,29650,350519,30896,345061,31371,332787,32146,325319,33465,322809,35626,312682,36967
경기도 부천시,872452,66649,869944,70920,863720,74733,855586,78455,848987,82410,851380,86218,850329,92537,843768,97670,829996,104089,822000,110347
경기도 광명시,355226,29624,355560,31301,353100,32599,348560,33980,344978,35511,339484,36549,332790,38321,326841,39869,316552,41397,305836,42228
경기도 평택시,426886,43897,434305,45938,442034,47683,449555,49568,460532,51536,470832,53090,481530,55926,495642,58483,513027,61910,529140,65327
경기도 동두천시,96253,12996,97175,13791,97557,14477,97595,14989,97974,15626,98277,16172,97071,16961,96226,17695,94768,18344,93901,19100
경기도 안산시,715586,47327,715108,49523,713666,51663,707876,53780,697885,55613,689859,57150,677710,60087,660343,62654,650918,66438,653505,70468
경기도 안산시 상록구,380880,26393,381556,27712,382571,29104,381508,30365,379517,31620,375857,32620,370744,34339,356311,35379,344613,37004,348635,39187
경기도 안산시 단원구,334706,20934,333552,21811,331095,22559,326368,23415,318368,23993,314002,24530,306966,25748,304032,27275,306305,29434,304870,31281
경기도 고양시,961239,89179,969916,93853,990571,99028,1006154,104096,1027546,110050,1039684,114092,1041983,120333,1044189,126572,1066351,135272,1075841,143226
경기도 고양시 덕양구,391832,40126,396559,42286,410491,45394,424423,48515,441988,52263,446233,54412,448684,57446,450449,60270,466157,64799,473594,68661
경기도 고양시 일산동구,278095,23642,281949,24959,283976,25889,284207,26887,285658,28046,292612,29216,293673,30956,296223,32983,297671,35110,298901,37051
경기도 고양시 일산서구,291312,25411,291408,26608,296104,27745,297524,28694,299900,29741,300839,30464,299626,31931,297517,33319,302523,35363,303346,37514
경기도 과천시,71955,6968,71068,7258,70578,7508,70156,7727,68946,7929,63778,7735,57527,7474,58142,7762,58289,8084,61982,8756
경기도 구리시,194881,16375,192341,17158,189680,17915,186820,18528,186721,19368,193763,20623,200042,22362,203553,23800,199265,25159,197974,26567
경기도 남양주시,578485,55209,599539,59429,618305,63530,636256,67875,653454,72414,662154,75986,665321,81688,681828,86681,701830,93007,710433,98730
경기도 오산시,193892,12348,200291,13189,205460,14003,208565,14714,206828,15364,208656,16015,213437,17373,220070,18589,226379,20257,229249,21643
경기도 시흥시,401149,25647,399485,26709,396765,27839,394639,28835,398256,30190,402888,31650,419664,34511,448687,37552,473682,41403,493005,45275
경기도 군포시,287294,22966,286841,24089,286344,25080,288408,26326,287519,27501,284890,28530,281205,30278,276916,31712,275852,33726,274985,35802
경기도 의왕시,149607,12804,154757,13657,159772,14793,158482,15556,157740,16338,156763,16912,155767,18198,153932,19146,161153,20823,163720,21961
경기도 하남시,148397,14628,146269,15315,145096,16191,148896,17346,166713,19325,211101,23306,232487,26820,254415,30309,272455,33597,287452,36547
경기도 용인시,896044,81132,915959,87192,941477,93099,961026,98344,975746,104118,991126,108968,1004081,116882,1035126,125066,1059609,133817,1075697,141417
경기도 용인시 처인구,209200,21903,210524,23035,212904,24069,218400,25403,221347,26573,226130,27748,231553,29986,249118,33028,253896,35172,258455,37022
경기도 용인시 기흥구,368722,30478,375875,32930,393172,35703,402206,37897,409162,40617,417163,42832,419429,45836,427719,48858,436679,52782,440923,56057
경기도 용인시 수지구,318122,28751,329560,31227,335401,33327,340420,35044,345237,36928,347833,38388,353099,41060,358289,43180,369034,45863,376319,48338
경기도 파주시,378790,41080,394201,43695,401718,45783,411348,48009,423321,50440,430781,51980,437848,54881,451848,57889,454040,60663,461314,63896
경기도 이천시,204566,21434,204917,22216,205479,23022,205014,23870,204935,24629,210359,25380,213142,26935,214206,27988,215834,29245,219531,30749
경기도 안성시,180743,22748,181608,23692,182173,24354,181896,24990,180199,25846,182896,26606,182786,28134,183579,29319,183405,30729,186460,32342
경기도 김포시,256994,26426,287432,29408,312305,32542,340310,35706,349990,38039,363443,40505,392092,44611,423170,48532,437221,52278,463735,56875
경기도 화성시,516765,40139,525490,41897,530251,43822,540862,45860,596525,49417,640890,52875,691086,58053,758722,63520,815396,69434,846850,74514
경기도 광주시,265222,24126,275656,26215,286699,28200,298858,30441,312579,32816,327723,35203,345947,39203,363782,42843,372654,46344,380291,50067
경기도 양주시,200360,21172,200310,22338,199143,23439,202072,24607,205184,25998,205513,26708,212146,29098,216951,31121,222314,33412,229427,35696
경기도 포천시,157967,20891,157559,21753,156603,22541,155798,23279,155192,23892,154763,24292,152925,25451,150676,26306,148379,27615,147803,29015
경기도 여주시,109120,16873,109550,17619,109343,18227,110386,18674,111033,19233,111563,19778,111984,21083,111525,21959,111083,23068,111512,24157
경기도 연천군,44900,9087,45599,9347,45610,9594,45363,9887,45725,10030,45907,10162,45431,10423,44633,10611,43824,10990,43590,11408
경기도 가평군,59358,11531,60794,12076,61017,12518,61213,12874,62008,13350,62448,13569,62973,14271,62918,14802,62415,15423,62551,16159
경기도 양평군,99430,18712,102193,19794,103620,20624,105379,21528,108316,22672,111367,23614,115105,25584,116095,26902,116874,28448,118433,30120
강원도,1536448,233219,1538630,241694,1542263,249539,1544442,255930,1549507,261671,1550806,266152,1550142,279976,1543052,289386,1541502,302886,1541104,316206
강원도 춘천시,272805,36774,273364,38278,274455,39467,275791,40376,277997,41092,280707,41699,280514,43914,280640,45532,281291,47645,282012,49796
강원도 원주시,320536,36202,323885,37620,324837,38812,327292,39862,332995,41104,337979,42246,341337,45246,344070,47200,349215,49983,353189,52662
강원도 강릉시,217571,32235,217741,33639,216806,34855,215807,36009,214560,36924,213846,37679,213952,39784,212957,41214,213442,43113,213055,45014
강원도 동해시,95804,12985,93897,13379,95143,14006,94562,14456,93895,14891,93297,15124,92851,15881,91272,16526,90522,17338,90575,18105
강원도 태백시,50176,7708,49493,8014,48794,8379,48258,8716,47501,9010,47070,9266,45888,9626,44858,9940,43866,10324,42937,10700
강원도 속초시,83745,11036,83579,11532,83109,11894,82432,12261,81992,12487,81793,12752,82273,13464,81682,13952,81786,14816,82457,15676
강원도 삼척시,72312,13085,72463,13454,73023,13916,72314,14245,70839,14527,69599,14610,68514,15093,68326,15481,67228,16004,65639,16484
강원도 홍천군,69899,13524,69727,13852,70638,14159,70451,14400,70336,14739,70076,14933,70340,15899,69949,16406,69150,17173,69164,17939
강원도 횡성군,44360,9860,44615,10277,44937,10631,45373,10834,45777,11095,45991,11323,46281,12025,46726,12445,46575,12989,46482,13520
강원도 영월군,40199,8890,40155,9120,40150,9391,40191,9602,40216,9782,40073,9915,40067,10374,39730,10669,39127,11024,38698,11379
강원도 평창군,43577,8685,43627,8992,43666,9318,43660,9530,43500,9694,43318,9837,43092,10399,42610,10675,42106,11200,41706,11724
강원도 정선군,40181,7978,39915,8185,39985,8503,39425,8709,39197,8872,38718,9008,38173,9329,37700,9508,37271,9837,36956,10248
강원도 철원군,48084,8143,47968,8479,47473,8713,47590,8899,48799,9060,48013,9112,47185,9264,46413,9464,45584,9830,44799,10117
강원도 화천군,24945,4510,25020,4603,25079,4668,27143,4791,27020,4821,26264,4806,26022,4946,25084,5064,24917,5319,24855,5555
강원도 양구군,22285,3802,22799,3887,23594,4009,23888,4051,24089,4082,24010,4108,23835,4259,23408,4324,22764,4493,22315,4651
강원도 인제군,31970,5212,32456,5396,32517,5472,32475,5537,33255,5573,32720,5602,32582,5859,32136,6014,31672,6194,31538,6478
강원도 고성군,30057,6446,30124,6600,30398,6761,30269,6888,30060,6996,30114,7151,30029,7300,28144,7416,27260,7659,26787,7898
강원도 양양군,27942,6144,27802,6387,27659,6585,27521,6764,27479,6922,27218,6981,27207,7314,27347,7556,27726,7945,27940,8260
충청북도,1562903,209473,1565628,215245,1572732,222188,1578933,228900,1583952,234813,1591625,240690,1594432,252434,1599252,261763,1600007,273425,1598536,284676
충청북도 청주시,661946,54728,666852,57500,672904,60509,831521,86048,831912,88656,835197,91553,835590,96483,837749,100841,839566,106373,844110,111730
충청북도 청주시 상당구,241621,23382,240433,24415,246128,25758,179792,22544,176424,22996,173701,23576,171129,24560,176818,25878,178352,27300,187003,28840
충청북도 청주시 서원구,,,,,,,224727,22880,220045,23602,217120,24187,216782,25658,209404,26615,203209,27930,197483,29248
충청북도 청주시 흥덕구,420325,31346,426419,33085,426776,34751,252027,21790,253426,22542,253563,23459,253912,24786,254302,25874,262137,27694,265838,29144
충청북도 청주시 청원구,158369,22688,154780,22037,155002,22528,174975,18834,182017,19516,190813,20331,193767,21479,197225,22474,195868,23449,193786,24498
충청북도 충주시,208433,30664,208447,31704,208115,32525,208527,33312,207913,33948,208350,34790,208316,36703,210504,38138,210737,39811,210299,41388
충청북도 제천시,137689,20851,137521,21701,137204,22407,136805,23048,136138,23594,136517,24131,136432,25691,135386,26619,134617,27790,133246,28887
충청북도 보은군,34717,9625,34438,9766,34318,9853,34240,10020,34296,10124,34221,10187,34053,10461,33680,10648,32949,10909,32522,11176
충청북도 옥천군,53496,11718,53244,11950,52763,12232,52469,12550,52404,12932,52267,13255,51766,13720,51465,14123,51023,14557,50745,15006
충청북도 영동군,50621,12603,50663,12805,50539,13054,50803,13360,50693,13621,50552,13750,50240,14111,49715,14373,48738,14601,47679,14979
충청북도 증평군,34009,4523,34279,4665,34546,4830,34771,4952,36671,5150,37308,5323,37783,5626,37317,5846,37392,6143,37122,6370
충청북도 진천군,63051,9771,63458,9980,64606,10296,65174,10648,67981,10988,69950,11306,73677,11889,78218,12395,81084,13002,82362,13563
충청북도 괴산군,37333,10421,37713,10621,38059,10841,38351,11171,38787,11454,38973,11592,39054,11898,39133,12103,39163,12527,37368,12826
충청북도 음성군,91644,14765,92980,15243,93505,15618,95324,16083,96396,16517,97787,16906,97306,17685,95830,18303,94982,19067,93813,19794
충청북도 단양군,31595,7116,31253,7273,31171,7495,30948,7708,30761,7829,30503,7897,30215,8167,30255,8374,29756,8645,29270,8957
충청남도,2101284,315079,2028777,309840,2047631,320195,2062273,330807,2077649,341214,2096727,350108,2116770,362946,2126282,372515,2123709,386674,2120559,401478
충청남도 천안시,571377,46056,581988,48155,591089,50474,598346,52610,605776,54835,617955,57001,631531,60562,646075,63526,652258,67177,658670,71067
충청남도 천안시 동남구,252942,24717,257908,25899,260575,27149,261768,28276,261474,29379,258919,30187,255878,31750,257978,33147,259411,34905,258685,36779
충청남도 천안시 서북구,318435,21339,324080,22256,330514,23325,336578,24334,344302,25456,359036,26814,375653,28812,388097,30379,392847,32272,399985,34288
충청남도 공주시,124748,22774,117298,21894,116369,22474,113621,23092,111261,23779,109931,24213,108432,25008,107581,25546,106474,26448,105192,27505
충청남도 보령시,106421,19756,105559,20453,104938,21139,104321,21817,104754,22460,103873,22968,103198,23622,101990,24116,101114,24988,100415,25976
충청남도 아산시,274523,28890,280490,30079,287073,31374,293954,32581,297737,33862,302929,35067,311453,36969,312822,38206,314395,40045,314282,41759
충청남도 서산시,161489,23413,163315,24195,165837,25115,167611,26187,170099,27148,170788,28030,171678,29012,174162,29878,174690,31101,175330,32187
