기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2013.2/4	성북구	489,369	240,241	249,128	59,573	25,666	33,907	59,415	25,601	33,814	158	65	93
2013.2/4	강북구	344,546	169,856	174,690	47,334	20,761	26,573	47,248	20,723	26,525	86	38	48
2013.2/4	도봉구	362,862	179,068	183,794	43,590	19,127	24,463	43,548	19,111	24,437	42	16	26
2013.2/4	노원구	597,405	291,770	305,635	62,601	25,298	37,303	62,514	25,262	37,252	87	36	51
2013.2/4	은평구	508,765	249,233	259,532	62,985	27,426	35,559	62,828	27,353	35,475	157	73	84
2013.2/4	서대문구	325,505	158,147	167,358	43,123	18,243	24,880	42,778	18,083	24,695	345	160	185
2013.2/4	마포구	393,175	190,197	202,978	45,137	19,195	25,942	44,861	19,079	25,782	276	116	160
2013.2/4	양천구	498,923	247,675	251,248	44,938	19,289	25,649	44,780	19,220	25,560	158	69	89
2013.2/4	강서구	574,355	281,963	292,392	57,887	24,876	33,011	57,665	24,758	32,907	222	118	104
2013.2/4	구로구	454,096	228,732	225,364	46,788	21,313	25,475	45,985	20,969	25,016	803	344	459
2013.2/4	금천구	259,769	133,418	126,351	27,711	12,403	15,308	27,276	12,211	15,065	435	192	243
2013.2/4	영등포구	425,097	214,105	210,992	47,401	21,305	26,096	46,443	20,897	25,546	958	408	550
2013.2/4	동작구	420,435	206,650	213,785	48,833	21,495	27,338	48,604	21,409	27,195	229	86	143
2013.2/4	관악구	539,132	272,818	266,314	58,333	26,344	31,989	57,868	26,165	31,703	465	179	286
2013.2/4	서초구	443,008	214,284	228,724	43,263	19,729	23,534	43,132	19,668	23,464	131	61	70
2013.2/4	강남구	567,637	272,796	294,841	51,941	23,152	28,789	51,775	23,072	28,703	166	80	86
2013.2/4	송파구	674,015	329,951	344,064	60,121	26,817	33,304	59,943	26,742	33,201	178	75	103
2013.2/4	강동구	490,341	244,919	245,422	46,459	20,512	25,947	46,358	20,461	25,897	101	51	50
2013.3/4	합계	10,413,232	5,139,376	5,273,856	1,155,660	505,672	649,988	1,149,455	502,973	646,482	6,205	2,699	3,506
2013.3/4	종로구	168,943	83,730	85,213	23,955	10,528	13,427	23,805	10,451	13,354	150	77	73
2013.3/4	중구	138,738	69,533	69,205	19,262	8,235	11,027	19,058	8,131	10,927	204	104	100
2013.3/4	용산구	252,998	123,425	129,573	33,869	14,195	19,674	33,610	14,051	19,559	259	144	115
2013.3/4	성동구	308,047	153,510	154,537	35,299	15,262	20,037	35,156	15,204	19,952	143	58	85
2013.3/4	광진구	382,807	188,373	194,434	37,221	16,562	20,659	36,975	16,444	20,531	246	118	128
2013.3/4	동대문구	377,671	188,809	188,862	48,629	21,395	27,234	48,438	21,316	27,122	191	79	112
2013.3/4	중랑구	421,860	210,689	211,171	48,365	21,179	27,186	48,295	21,156	27,139	70	23	47
2013.3/4	성북구	488,543	239,746	248,797	60,005	25,879	34,126	59,845	25,814	34,031	160	65	95
2013.3/4	강북구	343,642	169,386	174,256	47,983	21,043	26,940	47,897	21,004	26,893	86	39	47
2013.3/4	도봉구	361,909	178,564	183,345	44,016	19,329	24,687	43,976	19,313	24,663	40	16	24
2013.3/4	노원구	596,823	291,351	305,472	63,336	25,686	37,650	63,252	25,649	37,603	84	37	47
2013.3/4	은평구	508,299	248,891	259,408	63,711	27,765	35,946	63,566	27,699	35,867	145	66	79
2013.3/4	서대문구	325,431	158,000	167,431	43,507	18,429	25,078	43,167	18,278	24,889	340	151	189
2013.3/4	마포구	393,082	190,048	203,034	45,555	19,288	26,267	45,290	19,177	26,113	265	111	154
2013.3/4	양천구	497,796	247,057	250,739	45,477	19,589	25,888	45,328	19,526	25,802	149	63	86
2013.3/4	강서구	574,635	282,056	292,579	58,807	25,362	33,445	58,588	25,249	33,339	219	113	106
2013.3/4	구로구	453,123	228,201	224,922	47,535	21,697	25,838	46,727	21,361	25,366	808	336	472
2013.3/4	금천구	259,158	133,095	126,063	28,057	12,591	15,466	27,635	12,406	15,229	422	185	237
2013.3/4	영등포구	423,630	213,456	210,174	47,785	21,486	26,299	46,827	21,092	25,735	958	394	564
2013.3/4	동작구	421,534	207,238	214,296	49,453	21,771	27,682	49,225	21,687	27,538	228	84	144
2013.3/4	관악구	537,890	271,972	265,918	59,070	26,660	32,410	58,610	26,491	32,119	460	169	291
2013.3/4	서초구	443,961	214,515	229,446	43,924	20,017	23,907	43,795	19,957	23,838	129	60	69
2013.3/4	강남구	569,191	273,610	295,581	52,661	23,527	29,134	52,498	23,447	29,051	163	80	83
2013.3/4	송파구	673,859	329,621	344,238	60,953	27,251	33,702	60,771	27,174	33,597	182	77	105
2013.3/4	강동구	489,662	244,500	245,162	47,225	20,946	26,279	47,121	20,896	26,225	104	50	54
2013.4/4	합계	10,388,055	5,126,351	5,261,704	1,167,177	511,164	656,013	1,161,708	508,729	652,979	5,469	2,435	3,034
2013.4/4	종로구	167,867	83,211	84,656	23,997	10,546	13,451	23,853	10,469	13,384	144	77	67
2013.4/4	중구	137,990	69,128	68,862	19,346	8,248	11,098	19,152	8,150	11,002	194	98	96
2013.4/4	용산구	251,925	122,974	128,951	34,017	14,290	19,727	33,775	14,153	19,622	242	137	105
2013.4/4	성동구	306,571	152,809	153,762	35,421	15,342	20,079	35,296	15,291	20,005	125	51	74
2013.4/4	광진구	381,439	187,584	193,855	37,623	16,723	20,900	37,413	16,617	20,796	210	106	104
2013.4/4	동대문구	376,445	188,167	188,278	49,097	21,602	27,495	48,911	21,523	27,388	186	79	107
2013.4/4	중랑구	421,237	210,390	210,847	48,998	21,496	27,502	48,937	21,477	27,460	61	19	42
2013.4/4	성북구	485,347	238,228	247,119	60,499	26,163	34,336	60,353	26,105	34,248	146	58	88
2013.4/4	강북구	341,921	168,546	173,375	48,547	21,288	27,259	48,465	21,252	27,213	82	36	46
2013.4/4	도봉구	360,609	177,925	182,684	44,469	19,546	24,923	44,434	19,531	24,903	35	15	20
2013.4/4	노원구	594,027	289,967	304,060	63,810	25,905	37,905	63,731	25,870	37,861	79	35	44
2013.4/4	은평구	508,111	248,722	259,389	64,328	28,035	36,293	64,188	27,973	36,215	140	62	78
2013.4/4	서대문구	324,067	157,314	166,753	43,850	18,554	25,296	43,529	18,410	25,119	321	144	177
2013.4/4	마포구	391,098	188,874	202,224	45,758	19,329	26,429	45,508	19,225	26,283	250	104	146
2013.4/4	양천구	496,934	246,723	250,211	46,026	19,867	26,159	45,896	19,807	26,089	130	60	70
2013.4/4	강서구	575,236	282,287	292,949	59,530	25,756	33,774	59,330	25,651	33,679	200	105	95
2013.4/4	구로구	452,168	227,694	224,474	48,027	21,965	26,062	47,367	21,681	25,686	660	284	376
2013.4/4	금천구	258,254	132,742	125,512	28,310	12,720	15,590	27,948	12,561	15,387	362	159	203
2013.4/4	영등포구	421,577	212,417	209,160	48,065	21,621	26,444	47,258	21,288	25,970	807	333	474
2013.4/4	동작구	421,487	207,223	214,264	50,062	22,020	28,042	49,863	21,937	27,926	199	83	116
2013.4/4	관악구	535,128	270,512	264,616	59,705	26,944	32,761	59,333	26,799	32,534	372	145	227
2013.4/4	서초구	446,541	215,771	230,770	44,674	20,346	24,328	44,554	20,292	24,262	120	54	66
2013.4/4	강남구	569,152	273,583	295,569	53,461	23,933	29,528	53,300	23,853	29,447	161	80	81
2013.4/4	송파구	674,955	330,030	344,925	61,745	27,700	34,045	61,592	27,635	33,957	153	65	88
2013.4/4	강동구	487,969	243,530	244,439	47,812	21,225	26,587	47,722	21,179	26,543	90	46	44
2014.1/4	합계	10,385,494	5,122,507	5,262,987	1,183,979	519,217	664,762	1,178,004	516,439	661,565	5,975	2,778	3,197
2014.1/4	종로구	167,350	82,845	84,505	24,237	10,668	13,569	24,068	10,573	13,495	169	95	74
2014.1/4	중구	137,466	68,721	68,745	19,581	8,382	11,199	19,351	8,267	11,084	230	115	115
2014.1/4	용산구	251,651	122,882	128,769	34,357	14,452	19,905	34,083	14,296	19,787	274	156	118
2014.1/4	성동구	306,597	152,691	153,906	35,863	15,533	20,330	35,719	15,478	20,241	144	55	89
2014.1/4	광진구	381,017	187,140	193,877	38,075	16,955	21,120	37,850	16,851	20,999	225	104	121
2014.1/4	동대문구	375,709	187,701	188,008	49,664	21,843	27,821	49,469	21,755	27,714	195	88	107
2014.1/4	중랑구	422,930	211,180	211,750	49,935	21,969	27,966	49,847	21,933	27,914	88	36	52
2014.1/4	성북구	484,786	237,678	247,108	61,058	26,396	34,662	60,900	26,329	34,571	158	67	91
2014.1/4	강북구	340,418	167,685	172,733	49,173	21,552	27,621	49,082	21,515	27,567	91	37	54
2014.1/4	도봉구	359,731	177,381	182,350	45,067	19,840	25,227	45,025	19,817	25,208	42	23	19
2014.1/4	노원구	591,596	288,735	302,861	64,564	26,256	38,308	64,479	26,215	38,264	85	41	44
2014.1/4	은평구	506,560	247,845	258,715	65,080	28,356	36,724	64,928	28,289	36,639	152	67	85
2014.1/4	서대문구	324,080	157,283	166,797	44,377	18,768	25,609	44,008	18,598	25,410	369	170	199
2014.1/4	마포구	391,177	188,765	202,412	46,283	19,548	26,735	45,991	19,415	26,576	292	133	159
2014.1/4	양천구	495,761	246,048	249,713	46,710	20,229	26,481	46,576	20,164	26,412	134	65	69
2014.1/4	강서구	574,594	282,032	292,562	60,450	26,220	34,230	60,246	26,106	34,140	204	114	90
2014.1/4	구로구	454,161	228,515	225,646	49,155	22,568	26,587	48,441	22,239	26,202	714	329	385
2014.1/4	금천구	257,662	132,357	125,305	28,711	12,967	15,744	28,321	12,779	15,542	390	188	202
2014.1/4	영등포구	420,898	211,974	208,924	48,808	21,976	26,832	47,985	21,611	26,374	823	365	458
2014.1/4	동작구	421,990	207,427	214,563	50,790	22,352	28,438	50,572	22,259	28,313	218	93	125
2014.1/4	관악구	534,868	270,369	264,499	60,590	27,361	33,229	60,191	27,190	33,001	399	171	228
2014.1/4	서초구	448,263	216,444	231,819	45,422	20,676	24,746	45,285	20,619	24,666	137	57	80
2014.1/4	강남구	570,701	274,218	296,483	54,518	24,398	30,120	54,336	24,313	30,023	182	85	97
2014.1/4	송파구	678,912	331,843	347,069	63,004	28,336	34,668	62,845	28,268	34,577	159	68	91
2014.1/4	강동구	486,616	242,748	243,868	48,507	21,616	26,891	48,406	21,560	26,846	101	56	45
2014.2/4	합계	10,383,651	5,120,271	5,263,380	1,193,827	523,743	670,084	1,188,361	521,118	667,243	5,466	2,625	2,841
2014.2/4	종로구	166,665	82,355	84,310	24,265	10,685	13,580	24,093	10,587	13,506	172	98	74
2014.2/4	중구	137,122	68,506	68,616	19,640	8,428	11,212	19,415	8,316	11,099	225	112	113
2014.2/4	용산구	250,922	122,560	128,362	34,366	14,430	19,936	34,103	14,275	19,828	263	155	108
2014.2/4	성동구	306,692	152,647	154,045	36,085	15,609	20,476	35,951	15,555	20,396	134	54	80
2014.2/4	광진구	380,146	186,671	193,475	38,464	17,131	21,333	38,267	17,040	21,227	197	91	106
2014.2/4	동대문구	374,664	187,094	187,570	49,817	21,911	27,906	49,636	21,827	27,809	181	84	97
2014.2/4	중랑구	422,741	211,013	211,728	50,495	22,209	28,286	50,413	22,175	28,238	82	34	48
2014.2/4	성북구	482,095	236,367	245,728	61,316	26,497	34,819	61,170	26,432	34,738	146	65	81
2014.2/4	강북구	340,167	167,521	172,646	49,744	21,755	27,989	49,653	21,718	27,935	91	37	54
2014.2/4	도봉구	358,590	176,778	181,812	45,432	19,999	25,433	45,395	19,977	25,418	37	22	15
2014.2/4	노원구	589,878	287,745	302,133	65,087	26,533	38,554	65,012	26,498	38,514	75	35	40
2014.2/4	은평구	505,935	247,475	258,460	65,579	28,570	37,009	65,437	28,509	36,928	142	61	81
2014.2/4	서대문구	323,449	156,987	166,462	44,650	18,902	25,748	44,299	18,744	25,555	351	158	193
2014.2/4	마포구	390,712	188,447	202,265	46,424	19,572	26,852	46,146	19,439	26,707	278	133	145
2014.2/4	양천구	494,583	245,382	249,201	47,122	20,438	26,684	47,006	20,377	26,629	116	61	55
2014.2/4	강서구	577,254	283,100	294,154	61,476	26,685	34,791	61,286	26,573	34,713	190	112	78
2014.2/4	구로구	457,516	230,347	227,169	49,799	22,882	26,917	49,176	22,575	26,601	623	307	316
2014.2/4	금천구	258,532	132,764	125,768	28,934	13,049	15,885	28,584	12,877	15,707	350	172	178
2014.2/4	영등포구	423,518	213,328	210,190	49,126	22,123	27,003	48,405	21,786	26,619	721	337	384
2014.2/4	동작구	422,234	207,616	214,618	51,181	22,490	28,691	50,989	22,402	28,587	192	88	104
2014.2/4	관악구	534,617	270,231	264,386	61,198	27,645	33,553	60,830	27,479	33,351	368	166	202
2014.2/4	서초구	448,511	216,433	232,078	45,884	20,893	24,991	45,756	20,839	24,917	128	54	74
2014.2/4	강남구	574,226	275,835	298,391	55,362	24,822	30,540	55,196	24,745	30,451	166	77	89
2014.2/4	송파구	677,460	331,031	346,429	63,470	28,620	34,850	63,324	28,555	34,769	146	65	81
2014.2/4	강동구	485,422	242,038	243,384	48,911	21,865	27,046	48,819	21,818	27,001	92	47	45
2014.3/4	합계	10,386,339	5,119,324	5,267,015	1,210,141	531,429	678,712	1,204,968	528,924	676,044	5,173	2,505	2,668
2014.3/4	종로구	166,200	81,935	84,265	24,433	10,742	13,691	24,271	10,655	13,616	162	87	75
2014.3/4	중구	136,773	68,276	68,497	19,828	8,490	11,338	19,608	8,381	11,227	220	109	111
2014.3/4	용산구	249,930	122,069	127,861	34,631	14,531	20,100	34,376	14,380	19,996	255	151	104
2014.3/4	성동구	305,752	152,137	153,615	36,447	15,810	20,637	36,316	15,759	20,557	131	51	80
2014.3/4	광진구	379,408	186,044	193,364	38,786	17,275	21,511	38,603	17,186	21,417	183	89	94
2014.3/4	동대문구	375,232	187,150	188,082	50,359	22,202	28,157	50,187	22,124	28,063	172	78	94
2014.3/4	중랑구	424,054	211,625	212,429	51,451	22,659	28,792	51,375	22,626	28,749	76	33	43
2014.3/4	성북구	479,810	234,995	244,815	61,880	26,761	35,119	61,739	26,695	35,044	141	66	75
2014.3/4	강북구	339,692	167,173	172,519	50,391	21,965	28,426	50,298	21,926	28,372	93	39	54
2014.3/4	도봉구	357,298	176,151	181,147	46,005	20,303	25,702	45,973	20,284	25,689	32	19	13
2014.3/4	노원구	588,767	287,060	301,707	65,972	26,955	39,017	65,901	26,923	38,978	71	32	39
2014.3/4	은평구	504,603	246,692	257,911	66,410	28,918	37,492	66,277	28,859	37,418	133	59	74
2014.3/4	서대문구	323,560	156,781	166,779	45,093	19,056	26,037	44,755	18,907	25,848	338	149	189
2014.3/4	마포구	390,092	188,043	202,049	46,754	19,730	27,024	46,480	19,599	26,881	274	131	143
2014.3/4	양천구	491,860	243,817	248,043	47,657	20,725	26,932	47,548	20,667	26,881	109	58	51
2014.3/4	강서구	588,123	288,336	299,787	63,333	27,554	35,779	63,156	27,449	35,707	177	105	72
2014.3/4	구로구	458,226	230,806	227,420	50,571	23,254	27,317	49,982	22,957	27,025	589	297	292
2014.3/4	금천구	258,496	132,686	125,810	29,292	13,224	16,068	28,972	13,059	15,913	320	165	155
2014.3/4	영등포구	422,925	213,072	209,853	49,614	22,390	27,224	48,948	22,069	26,879	666	321	345
2014.3/4	동작구	421,304	207,143	214,161	51,858	22,811	29,047	51,673	22,724	28,949	185	87	98
2014.3/4	관악구	533,792	269,849	263,943	62,025	28,004	34,021	61,682	27,849	33,833	343	155	188
2014.3/4	서초구	452,922	218,571	234,351	46,824	21,335	25,489	46,701	21,281	25,420	123	54	69
2014.3/4	강남구	579,102	278,057	301,045	56,496	25,332	31,164	56,340	25,263	31,077	156	69	87
2014.3/4	송파구	675,021	329,828	345,193	64,363	29,146	35,217	64,226	29,088	35,138	137	58	79
2014.3/4	강동구	483,397	241,028	242,369	49,668	22,257	27,411	49,581	22,214	27,367	87	43	44
2014.4/4	합계	10,369,593	5,109,013	5,260,580	1,221,616	536,758	684,858	1,216,529	534,294	682,235	5,087	2,464	2,623
2014.4/4	종로구	165,344	81,439	83,905	24,537	10,764	13,773	24,376	10,674	13,702	161	90	71
2014.4/4	중구	136,227	67,952	68,275	19,960	8,591	11,369	19,740	8,485	11,255	220	106	114
2014.4/4	용산구	249,914	122,047	127,867	34,896	14,667	20,229	34,571	14,479	20,092	325	188	137
2014.4/4	성동구	303,891	151,149	152,742	36,684	15,959	20,725	36,564	15,909	20,655	120	50	70
2014.4/4	광진구	377,375	185,011	192,364	38,974	17,373	21,601	38,808	17,295	21,513	166	78	88
2014.4/4	동대문구	376,319	187,638	188,681	50,915	22,453	28,462	50,756	22,380	28,376	159	73	86
2014.4/4	중랑구	423,411	211,178	212,233	51,995	22,873	29,122	51,919	22,839	29,080	76	34	42
2014.4/4	성북구	475,961	233,009	242,952	62,066	26,834	35,232	61,929	26,772	35,157	137	62	75
2014.4/4	강북구	338,410	166,553	171,857	50,841	22,096	28,745	50,755	22,058	28,697	86	38	48
2014.4/4	도봉구	355,712	175,306	180,406	46,471	20,514	25,957	46,438	20,494	25,944	33	20	13
2014.4/4	노원구	586,056	285,697	300,359	66,480	27,206	39,274	66,411	27,178	39,233	69	28	41
2014.4/4	은평구	503,243	245,946	257,297	67,002	29,226	37,776	66,864	29,163	37,701	138	63	75
2014.4/4	서대문구	320,861	155,477	165,384	45,309	19,126	26,183	44,982	18,982	26,000	327	144	183
2014.4/4	마포구	395,830	190,717	205,113	47,360	19,984	27,376	47,096	19,859	27,237	264	125	139
2014.4/4	양천구	490,708	243,091	247,617	48,175	21,001	27,174	48,068	20,944	27,124	107	57	50
2014.4/4	강서구	591,653	289,841	301,812	64,287	28,003	36,284	64,117	27,903	36,214	170	100	70
2014.4/4	구로구	457,131	230,091	227,040	51,187	23,545	27,642	50,615	23,257	27,358	572	288	284
2014.4/4	금천구	258,030	132,476	125,554	29,553	13,392	16,161	29,243	13,230	16,013	310	162	148
2014.4/4	영등포구	421,436	212,261	209,175	49,829	22,473	27,356	49,184	22,163	27,021	645	310	335
2014.4/4	동작구	419,261	205,962	213,299	52,327	22,987	29,340	52,147	22,906	29,241	180	81	99
2014.4/4	관악구	531,960	268,683	263,277	62,577	28,282	34,295	62,251	28,137	34,114	326	145	181
2014.4/4	서초구	454,288	219,109	235,179	47,469	21,604	25,865	47,346	21,551	25,795	123	53	70
2014.4/4	강남구	583,446	280,082	303,364	57,444	25,737	31,707	57,291	25,668	31,623	153	69	84
2014.4/4	송파구	671,794	328,308	343,486	65,025	29,518	35,507	64,891	29,460	35,431	134	58	76
2014.4/4	강동구	481,332	239,990	241,342	50,253	22,550	27,703	50,167	22,508	27,659	86	42	44
2015.1/4	합계	10,369,067	5,106,034	5,263,033	1,239,431	545,260	694,171	1,233,528	542,329	691,199	5,903	2,931	2,972
2015.1/4	종로구	165,240	81,256	83,984	24,712	10,836	13,876	24,543	10,744	13,799	169	92	77
2015.1/4	중구	136,063	67,858	68,205	20,132	8,667	11,465	19,882	8,550	11,332	250	117	133
2015.1/4	용산구	250,003	122,096	127,907	35,359	14,921	20,438	34,960	14,681	20,279	399	240	159
2015.1/4	성동구	303,777	151,003	152,774	37,162	16,193	20,969	37,012	16,121	20,891	150	72	78
2015.1/4	광진구	377,204	184,750	192,454	39,469	17,631	21,838	39,264	17,528	21,736	205	103	102
2015.1/4	동대문구	376,329	187,486	188,843	51,559	22,761	28,798	51,373	22,677	28,696	186	84	102
2015.1/4	중랑구	422,825	210,811	212,014	52,818	23,299	29,519	52,738	23,258	29,480	80	41	39
2015.1/4	성북구	475,900	232,809	243,091	62,695	27,127	35,568	62,537	27,056	35,481	158	71	87
2015.1/4	강북구	337,996	166,245	171,751	51,531	22,359	29,172	51,429	22,315	29,114	102	44	58
2015.1/4	도봉구	355,282	174,971	180,311	47,100	20,791	26,309	47,064	20,770	26,294	36	21	15
2015.1/4	노원구	584,630	285,023	299,607	67,297	27,614	39,683	67,222	27,579	39,643	75	35	40
2015.1/4	은평구	504,165	246,293	257,872	67,939	29,668	38,271	67,788	29,597	38,191	151	71	80
2015.1/4	서대문구	319,938	154,723	165,215	45,771	19,330	26,441	45,416	19,163	26,253	355	167	188
2015.1/4	마포구	398,649	191,897	206,752	47,884	20,199	27,685	47,598	20,066	27,532	286	133	153
2015.1/4	양천구	490,745	243,126	247,619	49,027	21,453	27,574	48,895	21,376	27,519	132	77	55
2015.1/4	강서구	593,703	290,542	303,161	65,420	28,593	36,827	65,222	28,478	36,744	198	115	83
2015.1/4	구로구	457,390	230,061	227,329	52,157	24,005	28,152	51,495	23,660	27,835	662	345	317
2015.1/4	금천구	258,099	132,475	125,624	30,173	13,664	16,509	29,794	13,468	16,326	379	196	183
2015.1/4	영등포구	421,871	212,467	209,404	50,699	22,922	27,777	49,915	22,531	27,384	784	391	393
2015.1/4	동작구	419,460	205,978	213,482	53,074	23,326	29,748	52,858	23,226	29,632	216	100	116
2015.1/4	관악구	533,109	269,144	263,965	63,576	28,698	34,878	63,211	28,533	34,678	365	165	200
2015.1/4	서초구	453,564	218,520	235,044	48,066	21,862	26,204	47,933	21,806	26,127	133	56	77
2015.1/4	강남구	583,699	280,195	303,504	58,496	26,232	32,264	58,334	26,162	32,172	162	70	92
2015.1/4	송파구	672,371	328,531	343,840	66,322	30,205	36,117	66,154	30,130	36,024	168	75	93
2015.1/4	강동구	477,055	237,774	239,281	50,993	22,904	28,089	50,891	22,854	28,037	102	50	52
2015.2/4	합계	10,349,492	5,094,448	5,255,044	1,249,461	549,950	699,511	1,243,829	547,136	696,693	5,632	2,814	2,818
2015.2/4	종로구	164,291	80,814	83,477	24,746	10,863	13,883	24,584	10,775	13,809	162	88	74
2015.2/4	중구	135,200	67,337	67,863	20,183	8,701	11,482	19,947	8,588	11,359	236	113	123
2015.2/4	용산구	249,517	121,891	127,626	35,464	14,979	20,485	35,078	14,741	20,337	386	238	148
2015.2/4	성동구	305,969	152,053	153,916	37,609	16,393	21,216	37,459	16,321	21,138	150	72	78
2015.2/4	광진구	376,620	184,434	192,186	39,758	17,788	21,970	39,570	17,691	21,879	188	97	91
2015.2/4	동대문구	375,254	186,842	188,412	51,819	22,923	28,896	51,636	22,838	28,798	183	85	98
2015.2/4	중랑구	422,597	210,523	212,074	53,343	23,546	29,797	53,263	23,504	29,759	80	42	38
2015.2/4	성북구	473,642	231,590	242,052	62,839	27,172	35,667	62,686	27,108	35,578	153	64	89
2015.2/4	강북구	336,981	165,671	171,310	51,920	22,535	29,385	51,821	22,492	29,329	99	43	56
2015.2/4	도봉구	355,256	174,842	180,414	47,659	21,045	26,614	47,622	21,023	26,599	37	22	15
2015.2/4	노원구	582,799	284,084	298,715	67,936	27,921	40,015	67,867	27,889	39,978	69	32	37
2015.2/4	은평구	504,055	246,172	257,883	68,726	29,999	38,727	68,579	29,930	38,649	147	69	78
2015.2/4	서대문구	318,206	153,954	164,252	45,967	19,392	26,575	45,611	19,227	26,384	356	165	191
2015.2/4	마포구	400,367	192,438	207,929	48,293	20,353	27,940	48,019	20,228	27,791	274	125	149
2015.2/4	양천구	490,276	242,911	247,365	49,580	21,780	27,800	49,456	21,709	27,747	124	71	53
2015.2/4	강서구	595,148	291,037	304,111	66,463	29,092	37,371	66,274	28,980	37,294	189	112	77
2015.2/4	구로구	457,560	230,026	227,534	52,709	24,231	28,478	52,074	23,903	28,171	635	328	307
2015.2/4	금천구	258,462	132,704	125,758	30,519	13,828	16,691	30,160	13,640	16,520	359	188	171
2015.2/4	영등포구	421,351	212,161	209,190	50,982	23,017	27,965	50,256	22,648	27,608	726	369	357
2015.2/4	동작구	418,520	205,312	213,208	53,326	23,435	29,891	53,119	23,334	29,785	207	101	106
2015.2/4	관악구	531,912	268,513	263,399	64,019	28,910	35,109	63,681	28,758	34,923	338	152	186
2015.2/4	서초구	451,697	217,490	234,207	48,428	21,973	26,455	48,300	21,919	26,381	128	54	74
2015.2/4	강남구	581,256	278,933	302,323	58,913	26,404	32,509	58,763	26,340	32,423	150	64	86
2015.2/4	송파구	671,984	328,282	343,702	67,076	30,624	36,452	66,918	30,553	36,365	158	71	87
2015.2/4	강동구	470,572	234,434	236,138	51,184	23,046	28,138	51,086	22,997	28,089	98	49	49
2015.3/4	합계	10,331,847	5,083,068	5,248,779	1,258,944	554,424	704,520	1,253,588	551,769	701,819	5,356	2,655	2,701
2015.3/4	종로구	164,499	80,796	83,703	24,830	10,884	13,946	24,684	10,802	13,882	146	82	64
2015.3/4	중구	134,828	67,043	67,785	20,239	8,743	11,496	20,011	8,636	11,375	228	107	121
2015.3/4	용산구	248,859	121,475	127,384	35,606	15,023	20,583	35,231	14,795	20,436	375	228	147
2015.3/4	성동구	306,384	152,132	154,252	37,908	16,496	21,412	37,770	16,428	21,342	138	68	70
2015.3/4	광진구	375,951	183,927	192,024	40,035	17,918	22,117	39,860	17,830	22,030	175	88	87
2015.3/4	동대문구	374,823	186,466	188,357	52,148	23,083	29,065	51,980	23,007	28,973	168	76	92
2015.3/4	중랑구	420,151	209,204	210,947	53,607	23,692	29,915	53,531	23,653	29,878	76	39	37
2015.3/4	성북구	472,309	230,727	241,582	63,108	27,276	35,832	62,960	27,216	35,744	148	60	88
2015.3/4	강북구	335,853	165,058	170,795	52,318	22,655	29,663	52,223	22,613	29,610	95	42	53
2015.3/4	도봉구	354,454	174,421	180,033	48,175	21,332	26,843	48,139	21,312	26,827	36	20	16
2015.3/4	노원구	581,088	283,034	298,054	68,436	28,169	40,267	68,369	28,138	40,231	67	31	36
2015.3/4	은평구	504,345	246,025	258,320	69,265	30,226	39,039	69,118	30,159	38,959	147	67	80
2015.3/4	서대문구	317,983	153,651	164,332	46,211	19,506	26,705	45,859	19,343	26,516	352	163	189
2015.3/4	마포구	400,596	192,299	208,297	48,484	20,439	28,045	48,225	20,320	27,905	259	119	140
2015.3/4	양천구	489,788	242,540	247,248	50,057	22,048	28,009	49,937	21,980	27,957	120	68	52
2015.3/4	강서구	596,319	291,675	304,644	67,267	29,464	37,803	67,089	29,358	37,731	178	106	72
2015.3/4	구로구	456,547	229,391	227,156	53,204	24,486	28,718	52,608	24,179	28,429	596	307	289
2015.3/4	금천구	257,954	132,366	125,588	30,869	14,000	16,869	30,522	13,824	16,698	347	176	171
2015.3/4	영등포구	420,449	211,704	208,745	51,274	23,146	28,128	50,582	22,799	27,783	692	347	345
2015.3/4	동작구	415,598	203,736	211,862	53,444	23,476	29,968	53,250	23,381	29,869	194	95	99
2015.3/4	관악구	531,145	268,013	263,132	64,543	29,121	35,422	64,218	28,974	35,244	325	147	178
2015.3/4	서초구	452,488	217,786	234,702	49,051	22,267	26,784	48,938	22,223	26,715	113	44	69
2015.3/4	강남구	582,109	279,485	302,624	59,587	26,731	32,856	59,442	26,667	32,775	145	64	81
2015.3/4	송파구	670,489	327,589	342,900	67,709	30,956	36,753	67,566	30,891	36,675	143	65	78
2015.3/4	강동구	466,838	232,525	234,313	51,569	23,287	28,282	51,476	23,241	28,235	93	46	47
2015.4/4	합계	10,297,138	5,063,550	5,233,588	1,267,563	558,202	709,361	1,262,436	555,660	706,776	5,127	2,542	2,585
2015.4/4	종로구	163,822	80,531	83,291	24,892	10,909	13,983	24,752	10,829	13,923	140	80	60
2015.4/4	중구	134,329	66,755	67,574	20,302	8,765	11,537	20,081	8,663	11,418	221	102	119
2015.4/4	용산구	247,909	121,027	126,882	35,715	15,059	20,656	35,352	14,837	20,515	363	222	141
2015.4/4	성동구	305,065	151,459	153,606	38,164	16,608	21,556	38,025	16,540	21,485	139	68	71
